"portugues","tupi"
"Por isso mesmo o ladrão é o que deve ser enforcado como pena de seus roubos passados","nd'e'i te'e abá mondá iî aîubykypyramo oîkóbo o mondarõagûera repyramo nhẽ"
"Cada vez que se lembra dela","sesé o ma'enduara îabi'õ"
"Urdiste mentiras contra alguém?","eresekyîpe îuraragûaîa abá supé?"
"Eu sou ligeiro de mãos","xe popy'i"
"Nasci","anhemonhang"
"Aumentaram as riquezas para mim","ono'ong mba'e ixébo"
"Meu preço é pouquinho","xe repy mokonhõ'ĩ"
"Sim, eis aqui também minhas garras, meu rabo comprido","îé, kó bé xe pûapẽ, xe rûaîpuku"
"remédio de nossos antigos desejos sensuais","moropotaragûera posanga"
"A morte, na verdade, é a ameaça dos que se casam verdadeiramente","te'õ a'e mendasareté momboîsabamo"
"ainda hoje apressando-vos para encontrar a felicidade verdadeira","kori bé penhemoanhẽ-anhẽmo tekokatueté pé pegûasemagûama resé"
"Andei sumido","akanhẽ-kanhem"
"Eu fiz confusão","xe apererá"
"Carpi-as","aîkapir"
"Maltrato-o","arekomarã"
"Por que bates em mim?","marãpe erepûar xe resé?"
"Urdiste mentiras contra alguém, envergonhando-o?","eresekyîpe îuraragûaîa abá supé i motĩamo?"
"as juntas da cabeça","akanga îepotasaba"
"Suas antigas lembranças das coisas aí se retirarão","mba'e resé o nhemoma'enduaragûera a'epe onhenosẽne"
"Estiraram-no sobre a cruz","oîpysó ybyraîoasaba 'arybo"
"Amarrei-lhe as pernas","aîkupy-pûar"
"Teus olhos misericordiosos volta em minha direção","nde resá poraûsubara erobak ixé koty"
"Afilei-o bem fininho","aîmopoîĩ"
"Eu tenho puxos","xe rygeasypu'ãpu'am"
"Mas não teve mãe, sendo Deus verdadeiro?","n'i xyîtepe tupã-etéramo oîkóbo?"
"Mas livra-nos do mal!","oré pysyrõ-te mba'eaíba suí"
"Eu sou Guaixará bebedor de cauim, comedor de gente","gûaîxará kagûara ixé, morûara"
"Ainda hoje fazendo-os cair","a'ebé kori i mbo'ane"
"Vendo-o, somente, é como pão","sepîaka nhõ miapé berame'ĩ"
"Que Deus te coloque nas alturas como sua própria filha","t'e'i tupã nde moingóbo o aîyramo ybaté"
"o que eu tomo","xe remiîara"
"Eis meus chifrões, meus dentes","kó xe 'akusu, xe rãnha"
"Eu sou furioso","xe marãmotar"
"Proclamando a lei de Deus","tupã rekó mombegûabo"
"Como se eu fosse","xe só serãmona'ẽ"
"Vai por aí","ebokûé rupi ekûab"
"Leva-o, olha lá!","erasó ké raré"
"Que faz o comungante para fazer Deus ficar consigo?","marãpe tupã rasara rekóû o îoesé tupã mombytábo?"
"Esse homem e sua esposa também fizeram acabar todas as suas riquezas","kó abá semirekó abé opá o mba'e mombabi"
"E os cadáveres da gente, que sucede a eles?","a'epe asé re'õmbûera, marã?"
"o que minh'alma busca","xe 'anga remiekara"
"Separamo-nos uns dos outros","oroîa'ok oré îosuí"
"Desde ontem não como nada","kûesé bé mba'e n'a'uî"
"Mas não iríamos para o céu se ele não morresse?","nd'îasóî xûé-tepemo ybakype se'õe'ỹmemo?"
"Pelas minhas costas disseste isso","xe kupébo aîpó eré"
"pele imunda","piryty"
"Portanto, esses são os mandamentos do Senhor Deus a nós","irõ ianga pa'i tupã îandé rekomonhangaba"
"Finalmente ele a levou","té ahẽ serasóbo ko'yté"
"Hei de contar os pecados deles para que tu acredites em mim","t'aîpapáne i angaîpaba ta xe rerobîá îepé"
"Moderei-os","anhonen"
"Eu tenho um buraco oco","xe kûarybỹî"
"os muitos judeus junto à cruz","îudeus-etá cruz robábo"
"O nome da terra deles é Mboijy, ali assando-os e comendo-os","setama rera mboîy, a'epe i moîypa, i gûabo"
"Tu, talvez para retribuir, atiras nele sempre as carícias desonestas","nde serã i poepyka îomomorangaíba ereîapi ko'arapukuî"
"Ele está um pouco melhor","i katu be'ĩ"
"Por acaso arrancaram sua roupa?","oîaobok serã gûá?"
"Filhos de índios, certamente","abá ra'yra, ipó"
"Conhece bem as guerras, ficando a esperar escondido as pessoas","oîkuá-katu marana, morapearõ-arõmo"
"Enfim eu vou","rumby gûixóbo"
"O que tolera o que quer trabalhar nos feriados","aretéreme i porabyky-potaryba'e mborypara"
"Ficando eles a fazer guerras, ameaçam as cabeças dos índios","omarãmonhã-monhanga, oîmomboî abá akanga"
"Eu sou de pequeno tamanho","xe ra'yrĩ-a'ub"
"Eu tenho mãos rápidas para assim agir","xe pó-py'i emonã gûitekóbo"
"Os homens pecadores mataram São Mateus","abá angaîpabora são mateus îukáû"
"Igualmente a morte está entre os moços e entre os velhos, não distante","oîoîá te'õ rekóû kunumĩgûasu suí tuîba'e suí bé, n'apûéî"
"Ao lado uns dos outros seus cadáveres estavam ao longo do mar","o îoybyri se'õmbûera paranã ybyri i kûáî"
"Após aquele revirar-se do mundo, então os anjos vêm","a'e 'ara îepubur'iré a'ereme karaibebé ruri"
"Envelheço","akakugûabakatã"
"Mostra o erro de minhas palavras","eîkuabe'eng xe nhe'engaipaba"
"Todo o céu preenches, o mar e a terra firme também","opá ybaka ereîmopó, paranã, yby abé"
"caminho impraticável","pé-aíba"
"vespa pontuda","kabatĩ"
"Procuramos Jesus Nazareno","iesu nazareno orosekar"
"Rodeei-o","anhaman"
"roupa de algodão grossa","amyniîu-aó-poanama"
"O que manda um falso pajé sugar outra pessoa","paîé-a'uba supé amõ abá oîxuban-ukaryba'e"
"tirante a vermelho","pyrangaíb"
"querendo fazer-nos preparar","îandé monhemosako'i-potá"
"Eu sou o grande tupinambá","xe tupinambagûasu"
"Tu deste à luz por tua vontade?","nde membyrápe erimba'e nde remimotarybo?"
"Estejas bem, ó meu mestre!","eîkobé-katu, xe mbo'esar gûy!"
"Dançaram a noite toda, fazendo feitiçarias","oporaseî pysaré, oîemopaîeangaípa"
"Nós estamos enfileirados","oré rysy"
"Tocaste nas tuas virilhas, abrindo as pernas, masturbando-te?","erepokokype nde rapopé resé epypekábo, eîeîukábo?"
"Movimento-me","akué"
"Entraram aqueles mesmos discípulos seus na casa de Anás?","oîképe a'e i boîá aé anás rokype?"
"Os que vivem para isso transgridem muito a lei","ikoba'e resé tekoara oîaby-eté tekó"
"Ah! Na verdade hei de me enfeitar, pintando-me de preto","erĩ! aûîeté-pakó aîegûak ûinhemoúna"
"Não ouço tuas palavras","n'asendubi nde nhe'enga"
"serra braceira","ybyrakytĩabusu"
"Quem, hoje, é como eu? Irra, ninguém!","abápe kori xe îá? erĩ, aani!"
"não deve ser, não será assim","aan ipó, aan ipó biã"
"Faço-o doente","aîmomara'ar"
"Senhor Jesus","pa'i îesu"
"Fizeste incisões em teu filho quando a lua começou a sair?","eresaírype nde ra'yra îasy semypyreme?"
"Comemoramos seu nascimento","i 'aragûera îaîmoeté"
"Apavorei-o","aîangerasó"
"corda de panacu, a que vai pela cabeça daquele que o leva","panakũ-sama"
"É usual os bons homens tratarem bem as pessoas","sekoab apŷabangaturama i porerekó-katu"
"Que saia o diabo dela","t'osẽ anhanga i xuí"
"Eu fui rendido","xe aûîé"
"Estou prestes a ir","oebyraîarinhote aîkó"
"Ainda bem que todos vós queimareis à uma","iîamuru opabenhẽ pekaî oîepegûarane"
"A ti somente louvando-te muito!","nde nhõ nde moetekatûabo!"
"Eu sou travesso","xe resakûé-kûé"
"Afastando o pecado original, o que Adão lançou na gente","tekoangaîpab-ypy moroesé adão remitykûera pe'abo"
"Quando morre seu cônjuge verdadeiro, uma pessoa não pode casar-se com algum irmão ou irmã dele","o me'engabeté re'õneme, abá nd'e'ikatuî omendá i asykûera amõ resé"
"de dois em dois, dois a dois","mokõ-mokõî"
"Jesus salvador da gente","iesu moropysyrõana"
"Dei-o de graça","aîme'eng tenhẽ"
"Que tipo de mulher é Santa Maria?","marãba'e kunhãpe santa maria?"
"Tomamo-lo de ombro a ombro","oîoybari orogûar"
"Segundo o julgamento de nós por Deus","tupã îandé rekomondykaba rupi"
"Eu estou maleitoso","xe karasy"
"Transgredirei eu a lei de Deus procedendo assim?","aîabyp'ixé tupã rekó inã ûitekóbone?"
"muitos outeiros, serrania","ybyty-bytyra"
"Quero muitíssimo todas as aldeias destruir","aîpotá-katutenhẽ opabĩ taba mondyka"
"No meio do caminho, meninos assaltaram-me mesquinhamente","pé ku'ape, kunumĩ pu'ama'ubi xe ri"
"antes de te esconderes","nhemim-y îanondé"
"Encosto-me nele","aîekok sesé"
"Aqueles outros dois deverão ser tomados segundo a vontade das pessoas","abá remimotara rupi tarypyrama é amoaé mokõî"
"Que amemos a mãe de Deus, por ela interessando-nos","tupã sy t'îasaûsu, sesé îanhemoryryîa"
"Envergonha-te de ti mesmo","etĩ nde îosuí"
"Arranquei o miolo dele","aîputu'umbok"
"Sim, eis aqui também minhas garras","îé, kó bé xe pûãpẽ"
"É bonita esta igreja, contendo muitos enfeites!","i porang kó tupãoka, îegûakabetá rerupa!"
"Com quais mulheres um homem não se casará?","umãba'e kunhã resépe abá nd'omendari xûéne?"
"Eu sou fibroso","xe raîy-raîyk"
"Olhando detidamente para alguma que foi casada","mendarûera amõ resé enhemosapysóbo"
"Pode o homem não cuidar de sua esposa?","e'ikatupe abá o emirekó resé oposykyîee'yma?"
"Fiz agouros a ele","asanong"
"Suas túnicas ficando a rasgar","o aobusu mondoró-ndoroka"
"Ao estar o sol no meio do mundo","kûarasy 'ara pyterype seneme"
"Ensino-o","aîmotekokuab"
"Levou sua mãe e seus discípulos sobre o cume do monte chamado ""das Oliveiras""","ybytyra olivete seryba'e apyra 'arybo o sy o boîá rerasóû"
"Lanço [à água] a canoa","aîtyk ygara"
"Eu tenho os buracos da orelhas tapados","xe apysakûá-îe'o"
"Estando eu em casa de cristãos","karaibokype ûitekóbo"
"Eia, meu aliado!","ne'ĩ xe atuasar"
"Come moderadamente","nde îanhõte mba'e e'u"
"Como ele, também, curaste os doentes","supi bé eremombûeîrá mara'abora"
"Eu sou mandão","xe poropûaîxûer"
"A dança é que é boa, enfeitar-se, untar suas penas","moraseîa é i katu, îegûaka, sa-mongy"
"Vingo-me, de fato, deles, após tornar-se bom seu povo","aîepyk anhẽ sesé, i anama katu riré"
"Eu permaneço seu guardião","aîkobé n'ixé sarõana"
"marca de dentes, sinal de dentada","tãî-mbora"
"Certo judeu velho mostrou o lugar em que ela foi enterrada, fazendo-nos alcançá-la","amõ îudeu tuîba'e i tymagûera kuabe'engi, sesé îandé moîekosupa"
"Isso é assim, certamente","emonã ûĩ re'a"
"Atravessam suas mãos juntamente com seus pés","îaîpó-asá-sá i py resebé"
"Tem muito cauim, por acaso, meu avô Jaguaruna?","i kaûĩgûasu-pipó xe ramûĩa îagûaruna?"
"Que venhas para levar-me para o alto","t'ereîu ybaté xe rerasóbo"
"Ele está enferrujado, ele tem ferrugem","sepoti"
"A seu próprio pedido, na cruz o pregaram","cruz resé i moîari, i îeruresabo é"
"Não estão casados os que não se casam diante de duas outras pessoas também","amõ abá abé mokõî robaké omendare'ymba'e n'omendari"
"Vossos avós todos com pranto estavam, recolhendo-se","pe ramỹîa pabẽ rakó îase'o rerekóû, îemoingeabo"
"Frustrei-me","xe rarûab"
"A dança é que é boa, enfeitar-se, pintar-se de vermelho","moraseîa é i katu, îegûaka, îemopyranga"
"Picar-me-ia o marigui","- xe su'umo marigûi"
"Saiu para o pátio chorando muito dolorosamente","osem okarype oîase'oasykatûabo"
"Ajudei-o em suas palavras","aînhe'ẽ-pytybõ"
"Estive por longo tempo","ymûanĩ xe rekóû"
"Estando doente, de verdade, não a ouviste, ou sendo preguiçoso?","nde mba'easyramo épe nd'eresendubi koîpó nde ate'ymamo nhẽ?"
"fazendo-me estar sozinho","oîepebẽ xe moingóbo re'ĩ"
"Eu estou muito úmido","xe rygûasu"
"Ela requeima","taî"
"A terra ficou levantando","yby obu-obur"
"homem verdadeiro como nós","apŷab-eté îandé îabé"
"ajuntamento de pedras","itá re'yîa"
"Importuna-me bem, irritando-me muitíssimo, aquela lei nova","xe moaîu-marangatu, xe moŷrõ-etekatûabo, aîpó tekó-pysasu"
"Aliaste-te com tua comborça?","ereîekotyápe nde nhemõîa resé?"
"Venho não tendo a intenção de que me alimentem","aîur ta xe poî na ûi'îabo ruã"
"Rompeu-se teu coração, por amor a ele","obok nde nhy'ã, saûsuba resé"
"ao amanhecer","ko'ẽme"
"Não é muito forte o homem branco","na satãngatuî maíra!"
"Mas me esconde tu dele!","xe mĩ-te îepé i xuí!"
"Existe a confissão, remédio portador de cura","oîkobé îemombe'u, mosanga mûeîrabyîara"
"na ponta, na extremidade","apyri"
"Eu tenho cálculos renais","xe typa'am"
"Alegrando todas as velhas","gûaibĩ moesãîa mbá"
"Sentou-se em público, aquecendo-se perto do fogo","te'yîpe nhẽ i gûapyki, tatá ypype oîepegûabo"
"corpo morto","teté-kanhema"
"Virei-o ao contrário","arobak"
"Assim também fizeram com seus pés, pregando-os com cravos?","a'e îá bépe gûá i py rerekóû, itapygûá pupé i moîáno?"
"o que é de antigamente, o que é antigo","kûesenhe'ỹndarûera"
"Não sabia do perdão de Deus a mim","n'aîkuabi ixébo tupã nhyrõagûera"
"O tucum é estopento","tukũ sybyr"
"Eis-me aqui, eis que aqui estou","aîkó"
"Dia muito bom","arangaturameté"
"Dentro de um só pão vê tu a variedade de coisas","oîepé mi'u pupé esepîak tekó paraba"
"o resgate de minha alma","xe 'anga repymondykaba"
"sendo ele bom","okaturamo"
"Embarquei","a'ar"
"Havemos de anunciar futuramente sua partida","t'îaîmombe'u é irã i îepaboka"
"Queres que ele te coma?","ereîpotápe nde 'u?"
"Lembrai-vos do que se sofre no inferno","penhemoma'enduá anhanga ratápe i porarapyra resé"
"Salve, ó meu mestre!","eîkobé-katu, xe mbo'esar gûy!"
"Eu lhe faço ninho","asayty-monhang"
"Enfrentamo-nos","oroîobaîar"
"Morro subitamente","amanõ-memûã"
"Vem, coisa fedorenta, coisa nojenta, borá!","eîori, mba'enem, mba'e-poxy, mborá!"
"Vinde, para comer a criança, engolindo completamente o menino","peîori pitanga gûabo, kunumĩ mokona mbá"
"Guardai-vos de inventar impedimentos ao casamento, contando o que não é verdade","peteumẽ mendara moarupaba mo'anga'upa supindûare'yma mombegûabo"
"Eu estou animoso","xe rakubor"
"daí, desse lugar","aîpó suí"
"Não porque não me ama","na xe raûsube'ỹmbeî"
"O sol certamente brilha, após passar a grande noite","kûarasy nipó oberá, putunusu kûab'iré"
"Eu afrouxei","xe apapub"
"Meu anzol muito ditoso há de pescar para ti","xe pindá-porangeté t'opindaîtykyne endébo"
"Essas não conhecem o pecado","eboinga tekoaíba nd'oîkuabi"
"Cavei a terra","ayby-ybykoî"
"Aplacando a Deus","tupã moîerekûapa"
"Os que não acreditavam nele trabalharam em conjunto, ficando a flechá-lo","serobîasare'yma potyrõû iî ybõîybõmo"
"Tu mesmo és causa de teu dano, querendo revirar minha casa","endé aé ereîekûá xe roka pobu-potá"
"Não lhe quis fazer mal o neném compadecedor","nd'îaîmomarã-potari pitangĩ-moraûsubara"
"Completamente ele me revistou","opá ahẽ xe subi"
"Tenho meu modo de ser diferente , Oré rekó-rekó-aé oroerekó - Temos nossos modos de ser diferentes","xe rekó-aé arekó"
"dia muito bom","arangaturameté"
"Vou como catador de pedras","asó itá piaramo"
"Olha bem para nós!","ema'ẽngatu oré ri!"
"As leis de nossa alma fez para a gente","asé 'anga rekorama oîmonhang asébe"
"Vem para espantar o maldito, para que não invista contra nós","eîori muru mondyîa, t'opu'am umẽ oré ri"
"Esse santo a vida de seu mestre escreveu para nós, deixando-a","kó santo o mbo'esara rekopûera erimba'e oîkûatiar îandébo, seîá"
"Assim eu procederei, tendo saúde futuramente","akûeîkó xe rekóû xe marane'yma rerekóbo rimba'e re'a"
"Afirmamos que isso é o que deve ser festejado","îaîmombe'u aîpó i momorangymbyra"
"""-Entrai na igreja"" disse ele de modo louvável","""-peîké tupãokype"" e'i muruangaba"
"peixe imprestável","pirá-poxy"
"ao longo dos dias","ara rupi"
"Se tivesse ido hoje","kori meémo asó"
"o que cuida da casa, caseiro","oka rerekoara"
"Eu sou um circuncidado","xe api'a"
"A gente o teme mais do que tudo o que deve ser temido","asé oîpoûsubeté opakatu i poûsubypyra sosé"
"espiga dele","sara"
"Jazo de lado","oykébo aîub"
"mas antes","-te nakó"
"Por isso mesmo veio como precursor de Nosso Senhor, anunciando-o","nd'e'i te'e oú îandé îara renotaramo, i mombegûabo"
"eco de minhas palavras","xe nhe'ẽ-'anga"
"os que devem ser honrados","i moetepyra"
"Será que estais sossegados, sem mais, nos vossos montes de maldades?","pe apysykĩ serã peîkóbo pe rekomemûã aty-atyra pupé?"
"Logo ao ouvir o nome dela eu me escondo em outra parte","serenduba rupibé amongoty xe nhemimi"
"tranca da porta","okena kokaba"
"Junto de si mesmo ninguém lhes dá de comer","o pyri abá n'omomba'e'uî"
"Tomaste veneno, querendo abortar teu filho?","eremosangu'upe nde membyra akyrara potá?"
"Cá vem um barco Não faz senão ir","kó ygara ruri osó-te"
"Mas quando a gente se benzerá?","marãneme-tepe asé îobasabine?"
"Eu tinha-me esquecido por causa da muita aflição","xe resaraî tekotebẽ-eté suí!"
"Ainda bem que não fui, pois","aûîeté pakó xe soe'ymi é"
"Mudaste, por acaso?","ereîakasó-piang?"
"Confessa bem a nós que tu és o filho de Deus","eîmombe'u-katu tupã ra'yramo nde rekó orébe"
"Amarrei-o pelos pés","aîpukusãmoín"
"Caem, às vezes, os que seriam os frutos das árvores, sendo ainda flores","okuî rakó amũme 'ybarambûera o 'yba suí 'ybotyramo oîkóbo bé"
"Que coisa buscas?","mba'e resépe ereîkó?"
"Eu tenho lágrimas gotejantes","xe resa'y-tykyr"
"Fico andando à toa","agûatá-gûatá tenhẽ"
"Mostra-se com firmeza, está fixo","ten e'i"
"Uma coisa amarga com vinagre misturaram","mba'e-py'aûpîara kaûĩaîasy resé i monani"
"Tupiniquins, habitantes daqui, espiões inimigos","tupinakyîa, keygûara, tĩapyra moroupîara"
"os que põem armadilhas bem nos caminhos das fontes","nhãîmbiara pupé-katu oîekotyrungyba'e"
"Eia, que estejais alegres","pene'ĩ, ta pe rory"
"Que fez Deus outrora com nosso pai primeiro por causa de seu proceder assim?","marãpe erimba'e tupã îandé rubypy rerekóû emonã sekoagûera ri?"
"Veio de novo ao lugar em que estavam deitados seus discípulos?","our benhẽpe o boîá rupápe?"
"homem parvoeirão, ignorantão","abá-tekokuabe'ymusu"
"Arei-a","aîybyyby'ab"
"Hospedar os peregrinos","atara mombytá"
"Não pode sequer uma única vez contar para alguém a transgressão da palavra de Deus que foi contada para si","nd'e'ikatuî oîepé'ĩ tiruã tupã nhe'enga abŷagûera o îoupé i mombe'upyrûera mombegûabo abá supé"
"Ele vos fortalece","a'e pe mopyatã"
"Ergueu-se com as feridas de suas mãos, de seus pés e de seu flanco?","o pó, o py o yké kutukagûera bépe erimba'e ogûeropu'am?"
"O desejo de sumir para longe enche seus corações","mamõ nhẽ kanhẽ-motara i py'a îaîporaká"
"Eu tenho o interior das pálpebras trêmulo","xe ropé-py-sysyî"
"Eu estou amargo","xe rob"
"Tua casa santa edificamos, amando-te, tua imagem fazendo estar conosco","nde rokangaturamûama oroîmoĩ, nde raûsupa, nde ra'angaba rerokupa"
"Com sabão esfreguei-o","itayîuîa pupé aîkytyk"
"Sua cerviz ficando a esmurrar","i aŷpy atyká-tykábo"
"Fez-nos viver","îandé moingobé"
"Que faziam aí os que ele faria sair consigo?","marãpe a'e semienosegûama rekóû a'epe?"
"Adversária da morte","te'õ rupîara nhẽ"
"Tua alma entregando para o diabo, ele se compraz muito","nde 'anga me'enga anhanga pé, oangabó-katu"
"homem membrudo","abá-tubixaba"
"Retiraram-no para o pátio, colocando uma cruz no ombro dele","okarype senosemi, cruz nonga i ati'yba ri"
"Adoeci com ele","aromara'ar"
"Para uma grande escuridão, na verdade, iriam","pytunusupe émo i xóûmo"
"A força vital das frutas aqui está","ybá seté kó sekóû"
"Suportando as coisas dolorosas por causa de Deus","mba'e-asy porarábo tupana resé"
"Irrito-me habitualmente","xe îemoŷrõndûer îá"
"E ainda mais um batizado, transgressor da boa lei, encontrando um padre, alegrar-se-á muito","memetipó nhemongaraibypyra tekokatu abŷara abaré supé ogûasema, sorybetéûne"
"Resgatando totalmente seus antigos pecados","o angaîpagûera repyme'enga-mbapa"
"Eu tenho muitos parentes","xe mũetá"
"Morrendo na cruz","ybyrá pupé omanõmo"
"Guarda-te, hoje, de ter guerra comigo","eteumẽ kori marana rerekóbo xe resé"
"A causa de fuga do diabo é a água benta","anhanga nhegûasembaba 'ykaraíba"
"Vou à roça","akopîasó"
"ficando a observar o procedimento das pessoas","abá rekó andu-andupa"
"Vivo na virtude","aîkó tekokatu resé"
"Cantemos um pouquinho, primeiro, para festejarmos bem o dia","t'îanhe'engá-mirĩ ranhẽ 'ara momorãngatûabo"
"Eis que se aproxima minha vida futura","okakar kó xe rekoberama re'a"
"O que a seu filho e a seu escravo faz trabalhar","o a'yra, o embiaûsuba omoporabykyba'e"
"remédio bom","mosãngatu"
"Ele tomou os traços dos olhos de seu pai","og uba resá ahẽ ogûar"
"Não conheço esse homem","n'aîkuabi a'e abá"
"Num dia semelhante a este","kó 'ara nungara pupé"
"Apanhai-o bem hoje, dele tomando conta","peîpysy-katu kori sesé pemaînãngatûabo"
"Está muito a propósito, está sem mais nem menos","a'eboé tuî"
"Hei de me confessar ainda hoje, antes de me surpreender a morte","t'anhemombe'une kori bé, te'õ xe resapy'a e'ymebé ká"
"Há de se me deparar algum, primeiro","t'oîesub amõ ixébo ranhẽ"
"Faça-se tua vontade","t'onhemonhang nde remimotara"
"Um servo do príncipe esbofeteou sua cara","morubixaba boîá amõ osobá-petek"
"Lavou-se as mãos à vista da multidão","oîepó-eî te'yîa remiepîakamo"
"Ah, quem me dera tivesse o padre um pouquinho de piedade de mim, mandando-me pôr em outra parte!","xe raûsubá-mirĩ temõ abaré, amongoty nhõte xe moinuká mã!"
"injuriando-o","i agûabo"
"Vou atrás dele","sakypûeri asó"
"rio dos robalos","kamuri-'y"
"Estou-me agachando","anhemombeb gûitena"
"Traze os habitantes do Paraíba para aumentar nossa terra","eru paraibygûara oré retama irumõmo"
"O que tem a bem-aventurança é o que é manso","tekokatu-eté rerekoara onherane'ymba'e"
"Piscaste para alguma, também?","eresapumimype amõ supéno?"
"Vem para ver tua futura terra","îandé repîaka our! - veio para nos ver! eîori nde retamûama repîaka"
"o que tem nome Guaixará, o chamado Guaixará","gûaîxará seryba'e"
"Fiz-me homem","xe abagûasu"
"Antigamente, morrendo eu, o diabo, de repente, minha alma mataria com o pecado","akûeîme, gûimanõmo, anhanga, esapy'a, xe 'anga oîuká angaîpaba irũmomo"
"Eu sou calvo","xe 'akuî"
"Passeei","aîebyîebyr"
"Fiquei-o esfregando com gordura","aîkyty-kytyk mba'ekagûera pupé"
"a descida dele","serogûeîypaba"
"Eu tenho fôlego apressado, eu tenho muito fôlego","xe pytubapûan"
"Eu sou o grande tamoio Aimbirê, uma sucuriju, um tauató","xe tamuîusu aîmbiré, sukuriîu, tagûató"
"Detestas completamente suas obras?","ereroŷrõ-mbápe sekó?"
"Feri-o","aîkutuk"
"ao entardecer","karukĩneme"
"Ataquemo-los, prendamo-los antes que se consolem","îasepenhan, îaîpysyk i apysyk' e'ymebé"
"Os que se fizeram matar por causa de Deus","tupã resé oîeîuká-ukaba'epûera"
"Mas não foi nosso pai que fez nosso corpo?","n'asé ruba ruã-tepe asé reté oîmonhang?"
"Para as armadilhas eles levam gente","mundépe i porerasóû"
"Quase que fui","asó só"
"E suas velhas roupas, que fizeram com elas?","i aogûerape marã serekóû?"
"Tu, talvez para retribuir, atiras nele, o dia todo, a prostituição","nde serã i poepyka sugûaraîy ereîapi ko'arapukuî"
"Eis que era costume, então, dar nome às pessoas","ã tekó a'ereme moreroka"
"Sim, hei de ir para onde me mandam Mesmo porque eu, em meu coração, assim quero fazer","îé t'asóne xe mondoápe memeté ixé, xe py'ape, emonã tekó potá"
"Atraiu-se minha alma pela beleza de tua alma","onhemomotá xe 'anga nde 'anga poranga ri"
"Eu sou muito formoso","xe aysó-katu"
"Eu sou molengão","xe rekombegûé"
"Ontem, é verdade que alguns sumiram","kûeîsé, rakó, amõ kanhemi"
"Os furtos de fulano são famosos","serapûan ahẽ mondá"
"Eis que, na verdade, esse ato é o que tem o dom de nos fazer fracassar","anhẽ ã aîpó tekó îandé mopanem-y-îara"
"Fez-nos viver, sofrendo a morte","îandé moingobé, te'õ porarábo"
"rego d'água","y rapé"
"É penoso, de fato, remar canoa","sasy nakó ygá-pukuîa"
"Batendo sem motivo na tua esposa, tratando-a sempre como objeto maldito de pancada","nde remirekó resé epûá tenhẽmo, mûasá-mbururamo serekóbo îepi"
"Sua mãe não teve dor de parto","i xy n'i membyrasyî"
"Ruim por ruim, ele é, de fato, um pouco melhor","ahẽ nakó i angaturã-be'ĩ"
"São famosos esses moçacaras, que são uns beberrões","serapûan kó mosakara, i kaûĩgûasuba'e"
"Dois ladrões, um à sua direita e o outro à sua esquerda","mokõî mondabora, i 'ekatûaba koty amõ, a'e amõ i asu koty"
"Hei de ser bom","xe katupe ká"
"Resvalou em mim o fulano com a espada","xe apan ahẽ itaingapema pupé"
"pequeno como isto","nãmo-nhõta'ub"
"Como resgate de todos os que irão para o céu","opakatu ybakype osoba'erama repyramo"
"Ficaram todos gritando por causa disso","oposẽ-posẽ pabenhẽ sesé"
"Levantai-vos, vamos em seu caminho para encontrá-lo","pepu'am, t'îasó sapépe sobaîtĩamo"
"O que te põe nu","ikatupe nde moĩndara"
"E, pois, como há isto de ser?","marã-te-p'iã-ne?"
"Hei de ir cumprir essas palavras, juntando muitos dos meus servos","t'asó aîpó nhe'enga mopó, xe boîá reŷnhangetábo"
"contas vermelhas, contas de coral","mbo'ypyranga"
"Saiu para o pátio chorando muito dolorosamente","osem okarype oîase'o-asykatûabo"
"Veio há pouco por tua causa, adiantando-se aos temiminós","oú ramõ nde resé, temiminõ rokesyma"
"Invocaste em vão o nome de Deus, mentindo, sabendo ser mentira?","eresenõî tenhẽpe tupã rera, nde îuraragûaîamo nhẽ, îuraragûaîamo sekó kuapa?"
"Tem o homem, geralmente, muitas palavras em vão quando se aproxima de sua morte","i nhe'engetá tenhẽ nakamẽ abá ogûe'õ kakareme"
"Veio atrás de mim","xe pytaî turi"
"o doente, o que está doente","mara'asara"
"Bocejei","aîeîurupirar"
"Eu, o diabão assado","xe anhangusu-mixyra"
"Dar também o dízimo naquilo que plantou primeiro","o emitymbûerypy pupé tupãpotá-me'engano"
"fedor de boca","îurunema"
"Pus-lhe penas","aîpepó-moín"
"Eu tenho cabelo crespo","xe akangaíb"
"De mim comendo-as todas","xe suí i gûabo pá"
"casa de pedra","itá-oka"
"Tomando o leite de sua mãe","o sy kambûabo oúpa"
"Finalmente abre-se a terra engolindo-os, finalmente com o diabo vão os que pecam","teîpó yby oîe'apa, i mokona, teîpó anhanga irũnamo i angaîpaba'e osóbo"
"Não fui de modo algum","n'asó-angáî"
"Tendo inveja por seu próximo ter coisas boas, entristecendo-se por isso","o apixara mba'e-katu rerekó moasŷabo, sesé onhemoangekoaípa"
"ajuntamento de araçás","arasá-tyba"
"Imediatamente, de seu próximo eles se vingam, chacoteando-os","aûnhenhẽ o apixarĩ îepyki, i kurapa"
"muitos meninos","kunumĩ-etá"
"Saiu vivendo após o enterrarem","osem oîkobébo, o tym-y roîré"
"Faze-me tu valente","xe mopyatã îepé"
"Detestando sua maldade","i angaîpaba momburûabo"
"Perdoa tu nossas maldades","nde nhyrõ oré angaîpaba resé"
"possivelmente, provavelmente","emonã ipó re'a"
"Ai! Queima-me Deus!","erĩ! xe rapy tupã!"
"mulher viúva","kunhã-mene'õ"
