tupi,portugues_pred
"îapopûaratã, i moangaîpapa","Ele é o que faz mal, seu pecador"
"saûsuba rerekóbo","o que tem a cabeça"
"xe potaba nde!","Eu te vou matar!"
"i mara'aryba'e","Sua alma é maravilhosa"
"eresugûykápe kunhataĩ amõ?","Que tal o que está em tua boca?"
"xe ramũîa îagûaruna","Meu pai foi para a minha casa"
"marãpe i kugûabine?","Que é que é o que é seu nome?"
"sesé onhemonane'yma, oîabé sekó potare'yma","Seus filhos são os que se afastam, os que se afastam"
"paranã momungábo, ybytyra apyra sosé katu i mopu'ama","Para que o homem seja bom, o que faz com que o homem seja mau é o que faz com que ele seja mau"
"y anhẽ","água, água"
"marã-marã-pakó îeí xe rekóû?","É a vida de meu pai?"
"xe nhe'ẽ-matueté","Eu sou muito forte"
"y-akã","cabeça de água"
"asa'embé","Eu sou muito velho"
"anheté, kó nde rapé, a'e nde remiekara","Bem, aqui estás tu, aqui te estou tu"
"t'aroŷrõngatu anhanga","O que é mau"
"opakatu serã sygeapûá-kuîamo i ku'a sorokaba rupi?","Mas será que a mulher é muito boa por causa de sua pele?"
"xe su'umo marigûi","Eu sou muito mau"
"kó santo o mbo'esara rekopûera erimba'e oîkûatiar îandébo, seîá","Este santo, que é o que ensina, é o que faz com que ele seja santo, seu próprio"
"ka'a-pa'ũ","a caça-caça"
"marãpe ereîkó?","Que dia é que estás?"
"nd'e'i te'e abá tekokatu pupé onhemopepóbo o beberama resé","Não disse que a vida de qualquer pessoa se tornou mais forte para beber"
"marãnamope asé îobasabetá-etáûne?","Será que o homem vai ser santo?"
"orokûakeó","Nós nos enchermos"
"itá-pesembûera","a pedra-pessoura"
"aîkyty-kytyk mba'e-kagûera pupé","Eu tenho que fazer coisas muito mais"
"abá angaîpá-nhemima i kuapare'yma supé mombegûabo","O pecado de cada homem é o que faz o seu pai ficar longe"
"aîpó îandé ratá gûyra porama, sapypyrama","Eu sou o que faz o homem ser bom, o que é bom"
"aîu ramõ","Eu vou para o lado"
"ere'upe yby?","Tu tens água?"
"itakynhatimana","sua cabeça"
"nde nhyrõ oré angaîpaba resé orébe oré rerekomemûãsara supé oré nhyrõ îabé","Tu nos deixaste cair em causa dos pecados, nos deixando em causa de nós"
"serobîasare'yma potyrõû iî ybõîybõmo","O que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"eresópe abá îeky-'ye'ẽ supa, i pora rá?","Que alguém, por sua vez, tenha sido um homem de boa vontade?"
"asepyme'eng","Eu comprei"
"xe pé-bur","Eu sou o que está"
"opûerab amõnyme, tupã asé rerekokuapaba rupi é","Ele foi para a terra, por causa da presença de Deus"
"pe îoupé seîké potá, peîtyk pe angaîpaba","Seus pecados são bem, confessando-os"
"abá angaîpá-nhemima i kuapare'yma supé mombegûabo","O pecado de cada homem é o que faz o seu pai ficar longe"
"anhanga nde momburu","Eu te peco muito"
"kó bé ingapé-kûatiara","Esta é a verdade"
"kabaru repanakũ","O que faz com que o cavalo se enche"
"i mongaraibypyretá oîepegûasu îasûá","Sua morte é um sinal de que a gente está bem"
"n'i tyb-angáî setãmbûera opá akûeîme n'i poretáî","Não é bom ter uma irmã muito forte em todos os olhos"
"moraseîa é i katu, îegûaka, petymbu","É muito bom, porém, o que é mau, o que é mau"
"mutu'u resé tupã îekosu-berame'ĩ","Deus, porém, é o que é bom"
"xe akymaíb","Eu sou muito mau"
"yby-'ama","o mar"
"i moarûapaba t'aîmombe'une","O que é que é seu pai"
"xe rarõana opoapypyk îandune","Meu pai foi preso por causa dele"
"te'õ suí amanõ","Eu sou o pai de todos"
"adão, oré rubypy, oré mokanhemeté","Adão, nós somos os primeiros, nós somos os dois"
"e'ikatupe o îoesé omendá?","Pode ele casar-se?"
"atuî","Eu estou"
"anhangamo nhẽ i mondóû tatá ogûeba'erame'yma monhanga","Quando o homem que rouba o seu fogo, o rouba"
"ereîpotápe itaîuba?","Quer ter um filho?"
"y robaî","água que nos faz cair"
"o îesuí i mo'ẽuká asé resé","Jesus foi para sua morte"
"gûyrá rendaba","lugar de água"
"nõmo nhõ ma'e t'asenõî ndebe","Não te deixes levar por isso"
"o pytumimbykamo nhẽ nhemongaraibypyre'yma 'anga rekóû","A escuridão é a causa da morte de nosso espírito"
"ene'ĩ, temiminõ 'arybo nhẽ oîmombe'u o angaîpá-mirĩ anhõ","Por isso, o homem que não está no céu, diz que está em pecado"
"o îoati'yba ri","Ele foi para a terra"
"kûesenhe'ym bé sepîá-potá tenhẽ roîré","Que o que quer que seja o que quer que seja"
"asendu-potakatu","Eu sou muito forte"
"apu-apuk","Eu estou a chorar"
"mba'easybora-te aîekatu i 'uû","A gente tem que ser muito mau"
"xe boîáramo pabẽ xe pópe arekó-katu","Quando eu tenho o que eu tenho em minhas mãos"
"mene'yma resé oîkoba'e oîaby-eté tupã nhe'enga","A verdade é que há muito mais Deus"
"aó-tinga onong asé resé","Eu tenho que ir para o outro lado"
"endé konipó ixé","Nós somos os que nos encontramos"
"asé sy o membypitanga raûsuba sosé asé raûsume nhẽ","A mãe de um filho, por sua vez, está em paz com o homem"
"oîporarápe mba'e amõ a'epe oîkóbone?","Que coisa é que eu tenho de fazer?"
"nde ra'y-pupuka","Tu, teu filho, sorrias"
"xe îara re'õ renõîa","Eu tenho o que fazer"
"tupã resé o nheangerekosara","Deus nos faz ficarmos"
"gûaîbĩ moesãîa mbá","O que é mau é mau"
"a'e ipó asetobapé-pyténe","Eu tenho o corpo de seu pai"
"kunhã resé oîemoîoîaba'e","A gente tem que ser"
"nde moingóbo xe py'ape","Tu me acendeu no coração"
"our-eté'ĩ xe ruba mã!","Que mal é meu pai!"
"oky-ko'ẽ-ko'ẽ amana, paranã mopungábo","A gente que está com a chuva, a gente que está com a chuva"
"anheran i xupé","Eu vou para ele"
"tĩmbeba","o que é mau"
"mosapyr morubixaba","a morte de um homem"
"t'oma'ẽ îandé resé pitangĩ-moraûsubara","Que o homem seja muito bom para Deus"
"i mendá-mokõîa resé i byk'iré","Ele é o que faz com que sua mãe seja muito boa"
"aîmonhang serã-serã","Eu sou muito forte"
"oîkobépe amõ abá sekobîaramo?","Que foi o que fez com que eu fosse um homem?"
"pé ku'ape, kunumĩ pu'ama'ubi xe ri","Neste dia, o que me faz cair o que me faz cair"
"asó-asó-a'ub","Eu vou-me embora"
"nde porãngatu raûsupa","Que tu és santo"
"taba roma 'îápe","na terra de Roma"
"eîori i mosykyîébo","Faça-o ficar muito triste"
"i momanõmbyra","sua mãe"
"akó xe îubykarûera","Eu sou o que me faz cair"
"a'epe kunumĩgûasu kunhã oîmomosemba'e, miaûsuba potá nhẽ?","Como é que o homem que faz o mal, não é o que faz o bem?"
"ké turi îandé nupãmo!","Que tu te encostras!"
"nde-te ereberá i xosé, oré resapébo pá nde rekokatu pupé","Tu és o que nos faz amar, nos faz amar a tua vida"
"nde 'ekatu kó 'ara moapysyki","Tu, por causa de teu pecado, esta noite está"
"kûab-apûan","o quebra-cabeça"
"abaré koîpó amõ abá pyri morerokarûera nd'e'ikatuî omendá gûemierokûera resé","Porém, o homem que não tem fé em Deus não pode casar-se com alguém"
"arasó-ukar","Eu sou muito velho"
"pé rupi","por aqui"
"îarybobõ omonguî, ygara kuabĩ potá","A gente está a beber, a gente está a beber"
"emonãnamope tupã îandé rubypy arukanga nhẽ apóû semirekóramo?","Não aceitará Deus, porventura, o que faz com que o homem seja seu pai?"
"sory pakatu apŷaba","a força de sol"
"okûabépe irã so'o?","Que carne é que ele tem?"
"ta pe putu'ẽngatuté irã pe îemokane'õ ré","Que o que está em seu corpo seja o que está em seu corpo"
"eîkuabe'eng xe nhe'engaipaba","Fazei-me cair o que me faz cair"
"tekokatu angagûara tupã sy-angaturama","Deus é mãe de todos os pecados"
"mba'e o emimborará-tyba supé og osange'ymamo","Que o que faz com que o homem se enfraqueça"
"itá gûyrype","no fundo da pedra"
"atumbé-tumbek","Eu sou um homem"
"akûé tabusu îerusalém 'îaba","Eu tenho o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"xe rembiara rembyrûera arurĩ reîá supé","Eu sou o que me faz cair na terra"
"aopotukasara","Eu tenho de limpar"
"aîta'y-me'eng pedro","Eu vou para o céu, Pedro"
"o eîmbaba îagûara resé oîepyka, abá n'oîmomba'e'uî","Para todos os que estão no lugar de Deus, ninguém é digno"
"muru rokysyma îandé ratá poraká","O que faz com que o homem seja muito bom"
"xe mba'easy-potar îá","Eu tenho uma dor de cabeça"
"xe pinim","Eu sou o que me faz sentir"
"apŷabebé remi'u","Eu sou muito mau"
"a'ereme amõ aîukáne","Eu vou para o céu"
"kapi'i anhẽ rerupa","O que é que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"t'aîtyk pá koty","A casa de um homem"
"té oureté kybõ reriûasu mã!","Que grande é o que é o que é mau!"
"kó xe rekóû nde reká","Esta é minha vida, tua vida"
"oporomoingobébo rame'ĩ, na supi ruã-te","Ele fez-nos ficar dormindo, não apenas com a sua cabeça"
"îudeos ekomonhangábo, i 'apira mondoki","Os judeus, porém, são ladrões de suas mãos"
"ereîamotare'ymype nde rapixara, serok-y -bé-kybémo?","Tu não vais para o outro lado de tua casa, rei-de-deuses?"
"páscoa îabi'õ tupãrara","Pascua é para Deus"
"nd'oîabyî muru arara","Não se afaste de sua vida"
"yba ting","o mar"
"kó xe ypy","Aqui eu estou"
"îandé kanhem'iré, tupã amõ kunhãngatu monhangi","Para ele, o deus é o que faz a vida"
"a'e ipó asetobapé-pyténe","Eu tenho o corpo de seu pai"
"oroîopynekûab","Nós nos movemos"
"ybakype tupã i moeté-katu resé o ma'enduaramo","No céu Deus ouviu o que ele disse"
"oú-mo'ang pe mondyîa","Chegou o ladrão"
"abá-nhe'engixûera","O que é que é que é"
"ahẽ morapitîarûera taté nhẽ anhẽ ybŷá oîuká","Eu vou para o inferno de um homem que está no meio de uma árvore"
"oîepegûasu t'îaîkó","A gente está muito bem"
"aîmẽ","Eu estou"
"îandé moetébo apŷaba nhemosaraî","A gente não tem que se afastar"
"ybytu îabé osunung, i abaeté suí osyîa","O céu, porém, está em sua boca, e sua boca está em sua boca"
"xe îurubok","Eu estou a gritar"
"aîababixûer","Eu estou com o queixo"
"kunhã-angaturama ababykagûere'yma","O que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"t'oroîtyk oré poxy, paîé rerobîare'yma","Que nos deixe ficar feliz, para que nos deixe levar"
"xe run","Eu corro"
"xe rembegûasu - eu tenho beiço grande mba'e-embegûasu!","Meu pai - eu tenho muito bem de mim!"
"u'uba mongûá-potá","O que quer que o homem seja"
"aîatapygûasu","Eu sou um homem"
"xe kunumĩ-era","Eu sou um homem"
"tupã nhe'enga asé mbo'esaba","Deus nos deu a vida"
"kó amoaé","Aqui estou eu"
"moraseîa é i katu, îegûaka, îemoúna","É muito bom, porém, ser muito forte, ser muito forte"
"i 'ã i 'ang xe retãme xe rekoagûera ixébo","Para que eu seja condenado em meu país"
"marãpe asé rekóû karukeme, o ker-y îanondé?","Como é que a vida de um homem, antes de ele, é uma coisa de grande importância?"
"a'epe a'e kunhã n'onherani i momarana?","Que não é que o homem não se apaixona por seu nome?"
"ndaroîaî mamõ xe sóû","Não tenho mãe minha"
"ebapó o soagûera suí tupã espírito santo mbouri","O homem que está em paz com Deus, tem o espírito santo"
"nd'e'i te'e yby asé purungaba tiruã aîpoba'e re'õmbûera reroŷrõmo","Não disse que o que está na terra, não é o que faz com que o homem seja morto"
"oré py'a-pyk","Nós somos muito"
"îandûara","Ele é o que está"
"peẽ aé-te peîeapirõ","Só vós, porventura, vos afasteis"
"oobapybo aîub","Eu tenho de ir"
"i nhyrõ ipó kori ixébene","Sua cabeça é muito grande"
"oré 'anga t'oîosu, sekopoxy mosasãîa","Nós somos o homem de Deus, o homem de Deus"
"maratekoara aé-amẽ ahẽ?","Que diabo é que eu vou?"
"abá momanhã-manhana","O que é que é que é que é que é que é"
"îori anhanga mondyîa, ta xe momoxy umẽ","Que o que me rouba seja o que me faz morrer"
"nd'oronhoamotari","Não nos afaste"
"n'oîmogûabi o nhemoŷrõ, n'i nhyrõî","Se não houver alguém que não se dê, não se dará"
"xe katu","Eu sou"
"anhẽ ûĩ!","Eu estou bem!"
"erepo'ẽpe nde rapixara rapupé resé?","Arrebateste-te com a tua cabeça?"
"na ixé ruã asó","Não vou para casa"
"ara rupi","por meio do dia"
"ereîkópe abá-mendare'yma resé?","Tu és o que mais te faz sentir?"
"sasy tekopoxy, tekomemûã pe'a biã, aûîeté a'e roîré abá apysykaturamo","A vida de um homem, a vida de um homem, é muito importante para nós, quando nos afligimos"
"aîpó oîoupé 'é abé, o îara repypûera reîtyki tupãokype","Com a gente que está aqui, o que está no fundo da terra, vai para o céu"
"oîmombe'u o angaîpá-mirĩ anhõ tubixabeté oseîá, abaré suí i mima","Dizendo que os pecadores são os que se afastam de nós, por isso, o que é mais importante é o que é"
"xe 'a!","Eu sou!"
"tekokatueté pé pe gûasemagûama resé","É verdade que o que está em seu lugar"
"aygá-pukuî","a morte de um homem"
"xe rybyt, nde nhyrõ xebo","Eu sou o que te faz cair"
"kuîa nhẽ i tĩ-ngá-tĩ-ngábo, ereîanga'o abá","A gente, por sua vez, tem que ser muito boa"
"e'u umẽ ikó 'ybá xe rekoate'ỹmbaba","Comei a minha carne, a minha carne"
"erobak oré koty nde resá-poraûsubara","Arranja-nos a nossa casa para que te possas"
"i moxyryrykypyra","Sua boca está ferida"
"xe cristão, xe karaí","Eu sou cristão, meu pai"
"xe apysakûaraby moranduba","Eu sou o que me salva"
"tupã karaibebé mbouri são josé mosaûsuba pupé i momorandupa","Deus, por sua vez, fez com que José, o santo, fosse o único homem que o conheceu"
"setapokãba'e","O que é santo"
"marã serã ture'ymi?","Que é que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é?"
"sesé nde nhemomotaragûera ranhẽ t'ereîmombe'u","Tu, porém, te mandaste para o lado dos teus inimigos"
"îori xe moîekosupa, nde rekokatu me'enga","Que eu seja o que me faz morrer, o que te faz morrer"
"t'aroŷrõ tekomemûã","Que seja o que se faz"
"a'epe kunumĩgûasu kunhã oîmomosemba'e?","Que é que o homem que é o homem de verdade?"
"xe renõî umẽ îepé i xupé, na xe îukáî!","Não me deixes, antes que eu seja o que está por trás dele, chorar!"
"-abápe nde? -saraûaîa, aîuruîubupîarûera","Onde estás tu? - Bem, eu estou muito feliz"
"tupã ta'yra o sy suí i 'ar'iré îudeus i 'apira mondoki","Filho de Deus, a mãe de Jesus, foi o que fez com que os judeus roubassem sua vida"
"sugûy turusu ybype osyryka","O que está no mar de sua mãe"
"îeîbeté","Ele é muito"
"aîpepó-'ok","Eu estou deitado"
"asó gûarinĩramo","Eu vou como um homem"
"o emimotarybo épe erimba'e i nheme'engi og upîarama pé onherane'yma?","Que se faz com que o homem que não é bom seja assim mesmo?"
"tatá nde arõeté, i pupé t'ereîesy","Que tu te deixes cair, tu te deixas cair"
"okaî oúpa o ekobé rerekóbo","Ele foi para o lado de fora"
"xe rendy","minha luz"
"aîuká me'ĩmo mã!","Estou muito chato!"
"pyteri","o que é"
"opá o boîá nde pópe i mongûapa","Todos te deram as mãos com seus pecados"
"n'omoetéî o monhangara","Não se atreve a roubar"
"o îoaîuri aîmoín","Ele foi para mim"
"a'eba'e o'ar maria abá bykagûere'yma suí","Eu sou o que comeu Maria, a mulher de Deus"
"xe pinĩ-pinim","Eu sou muito forte"
"angaingaibora","o que é mau"
"abá 'anga mara'ara i pupé opûeîrá-katu","O que é que o dia de Deus é o que o faz"
"tapuîa rara","a gente está muito bem"
"andyrá-'aba","Eu sou muito mau"
"aîá pá îekuakuba","Eu tenho que fazer isso"
"-emonãnamope asé îeruréû santos-etá supé? -emonãnamo","Não é que o Senhor quer que os santos sejam muito mais santos?"
"tupã tekomonhangaba i abŷaramo ra'e","Deus é o que faz com que ele seja o que é"
"îamongûá moxy ru'uba, i xupé îaîemoîtỹamo","Que o que está em seu corpo, se ele for o que está em seu corpo"
"opakatu sasyeteba'e i arybeba'erame'yma porarábo","Todos os que sofrem com a sua morte são os que fazem o bem"
"xe irũ ã re'a","Eu sou meu amigo"
"asepy-sepyk","Eu estou muito triste"
"na abá o aûsubar-y îanondé ruã, na abá o pysyrõ îanondé ruãne","Não se vai para o céu, não se vai para o céu"
"asó morapépe","Eu vou para o céu"
"aîkobé, n'aîepe'aî i xuí","Eu sou, não deixando seu sangue"
"nd'e'i te'e mba'e amõ resé i moîekosupara tupã nhe'enga abŷabo","Não disse nada de que o homem fosse o que Deus quer"
"te'õ ereîporará","Que seja bom"
"marandé ipó ahẽ rekóû nhandu","O que é que eu sou, o que é que é que eu sou"
"seroŷrõmo opakatu ikó 'ara pupé seroŷrõmbyra sosé","Sem sermos todos, todos os dias, os que são sem ser são todos"
"xe pyta'ã-ta'am","Eu sou um homem de fé"
"eroîyb ahẽ supé","Eu vou para o céu"
"nd'e'i te'e mba'e-katu resé oîekosube'yma","Não diz que o que é verdade seja verdadeiramente mau"
"osykyîé nde suí anhanga, nde moabaetébo","Tu estás muito mal, teu pai"
"itamina pupé iî yké kutuki","A gente de sua casa está muito bem"
"amanõ-aíb","Eu sou o que está"
"na typyî","Não é um homem"
"xe rãîtatak","Eu sou o que me faz"
"aîá pá îekuakuba","Eu tenho que fazer isso"
"xe posaká, xe ratã","Eu sou muito bom, meu pai"
"tubixá-katu aîmbiré","Eu sou muito mau"
"eîepe'a!","Abre-o!"
"ererobîarype paîé îekaraimonhanga?","A gente tem que ser muito mais velha?"
"ygasápe kaûĩ-tuîa, a'e ré, îamomotá","No mar, o que está no meio, o nome dele, o faz morrer"
"opyk amana","Eu estou deitado"
"nde poxype nde remirekó asykûereté amõ resé koîpó i mũ-mbyryba?","Em tua alma, por causa da tua mulher, quem é que é o que te faz ficar tão triste?"
"îandé manhana ranhẽ t'osó îandé renondé","A gente de Deus, antes de tudo, está diante dele"
"sapó-rema","o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"a'eîbépe ybŷá cruz mo'ami i atykábo?","Que diabo é que o homem que está na cruz é o que ele é?"
"xe apŷab","Eu sou o que me faz"
"okaî oupa aûîeramanhẽ o îurupe nhote aîpó o 'eagûera repyramo","Ele foi para o que eu estava, para que ele fosse para ele, para que ele fosse para ele"
"ty-apogûasu","o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"ereîkuakupe nde angaîpaba amõ abaré suí, senotĩamo nhẽ?","Tu conheces os teus pecados, como o que é santo?"
"opá i îeakypûereroîebyri, o atukupé pyterybo o'á ybype","Todos os que se afastaram de sua vida, foram para o mar"
"morotĩngatu nde 'anga, aoba i potukapyra rame'ĩ","Tu és santo, teu espírito, que te faz cair o seu nome"
"xe ybypiar","Eu sou o meu homem"
"i abaeté muru supé são sebastião ru'uba, são lourenço pyri bé","E, por isso, o que é o santo, São Lourenço, é o que é o santo"
"nde nhy'ã nde i moatãnhẽe'ỹme","Tu te afliges com a tua cabeça"
"akûeîme aîkotebẽ, xe rekopoxy purûabo","Eu estou em minha cabeça, minha vida está em minha cabeça"
"nhandu'i-kesaba","Esquece-se"
"îarekópe mosanga amõ îandé pûerasabamo?","Que eu tenha de fazer com que o homem seja preguiçoso?"
"marãpe asé rerokara asé rerekóû?","Que diabo é que nós temos?"
"ybyku'i-una","a água de um"
"xe pysyrõ îepé!","Eu sou muito bom!"
"te'inhẽ oupa","A gente está indo"
"a'emo îandé resé i atarimo","Eu sou o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"seby-sebykĩ ixébo","O que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"mbobype sepy?","Que é que é?"
"xe pu'amagûera","Eu sou o que me faz sentir"
"pindá posyîtaba","a gente que está muito bem"
"omanõba'epûera suí sekobé-îebyri","Morreu o que foi morto por sua morte"
"apytá","Eu estou"
"mba'epe asé osenõî i xupé, o îerobîasabamo?","Que é que ele faz com que seu pai se enfraqueça, se ele é um homem?"
"ogûatá îepé serã i îybá mokõîa itapygûá soarama resé?","Que tal, porventura, ter de fazer com que os dois homens se casem?"
"xe aó-mondé-matueté","Eu sou muito grande"
"ne'ĩ t'îamongetá îandé rekasara ri","Não te preocupes com o que faz o homem"
"îeperibe'ĩ asé marã i 'éû onhemoŷrõ ymûan","Que o que é mais velho, mais velho, seja o que é mais velho"
"aîukámo mã!","Estou calado!"
"abá mba'e mombuka","Não há nada que seja mau"
"peîuká","Vão-se"
"t'a'u kori i îybapûera","Comeu o que é seu peixe"
"sekoaûîépe gûaîtaká koîpó gûaîanã ra'yra?","Que homem é o filho de Deus, neste mundo?"
"aîuruîuba mokaba ogûeru tenhẽ","A minha mãe, a macaba, veio para o céu"
"emoîerekûab orébo","Fazei-nos ficar"
"xe moanhẽ kó xe boîá","Eu me arrependo deste meu pai"
"t'asóne, gûy!","Vai, meu Deus!"
"oú tubixá-katu","Chegou a nós"
"sé","sim, sim"
"i potá nhote, sesé opokoka abé","É muito bom, por isso, que ele se apaixona"
"a'emo oîubyk-uká?","Que é que eu sou muito mau?"
"anhanga supé tupã asé mopyatãgûama resé","O que é que Deus faz com que o homem seja maldito"
"tubixabeté","de modo que o que faz"
"opá og ugûy me'engi","Todos estão em mau estado"
"saembé","a gente"
"seroapy'ambaba","Eu sou o que está a fazer"
"o nhemombe'ue'yma mopa'ũ-muku potare'yma","O que nos conta é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"xe rapixara","Eu sou o que me faz andar"
"xe nhemoŷrõndûer","Eu não me vou embora"
"sereroĩmbyra abá-mondá apŷabaíba rekoaba é","A vida de todos os homens é muito boa"
"ybyrá-pesembûera","o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"xe pytang","Eu sou negro"
"naînanĩ temiminõ o erumûana mombó","Não tementei ninguém para ir longe"
"xe apatynã","Eu sou o que me faz"
"ogûetepûera pupé oîkŷabo, i mopu'ama kûeîeténe","A gente que está muito bem, tem muito mal, muito bem"
"a'eîbé pilatos supé oîerekûabamo","Eu tenho que fazer o que é bom para Pilatos"
"marã e'ipe iîypy?","Que é que é que é o que é o que é?"
"mba'epe onong i akanga 'arybo?","Que fez o homem com seu pai?"
"îoapixaba","Ele foi para a casa"
"moroaûsubara 'yba","O que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"oré re'yî","Nós somos os que nos"
"mba'e-py'aûpîara kaûĩaîasy resé i monani","O que é que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"adão, oré rubypy","Adão, nós somos o que está"
"angaîpaba maniîabo mã!","Que maldito homem!"
"i xy aé ipó opîá o akangaobĩ pupé","Sua mãe, por sua vez, foi para o céu"
"a'e, rakó, i angaîpá","Sim, o que é mau, é seu pecado"
"o'ar 'yaíba ixébo","Ele foi para o céu"
"o angaîpaba, tupã nhe'enga abŷagûera reroŷrõmo","Ele é pecador, sem que Deus nos tenha mandado"
"marãba'e kunhãpe santa maria?","A santa Maria, porventura?"
"xe rekoruînhẽ","Eu sou o que me guarda"
"n'i îáî pirá sembiara","Não há nada de bom para o homem"
"xe nhe'engetá","Eu sou muito velho"
"ybaka aé tupã îandé resé i nhemosako'îaba, îandé mba'ekaturama nongatûaba re'a","Para que Deus nos dê a terra, não nos deixará, pois não nos deixará"
"oroîekok nde resé","Eu te vou mandando"
"amõ taba rapekóbo","Eu sou o que faz isso"
"kó xe 'anga, nde rusaba, nde rupabamo t'oîkó","Eis que eu, teu pai, estou no teu leito"
"""osó ipó"" a'ea'ub niã ixé","Vamos para fora"" de mim mesmo"
"erimba'epe aîpó nde 'îaba ereîmopóne?","Tu, porventura, te mandaste para o inferno?"
"esatapy nde remimõîa","Esquece-te de tua mãe"
"myatã ogûeru","A força se aproxima"
"kanga putu'uma","o que está em cima de nós"
"a'ar apyrĩ - estou prestes a cair our apyrĩ - está já para vir asó apyri'ĩ","Eu tenho que ir para casa - estou prestes a cair nossa casa - está bem para vir para casa"
"aín-apẽ","Eu sou o que está"
"xe ropá-ropar","Eu estou de pé"
"abá mondarõ osepîakĩba'e","O que está em paz com alguém"
"aîero'ar","Eu estou a ir"
"xe kûar ymûan","Meu velho pai"
"mbo'yrysy","o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"t'oîapysaká a'ereme marã o 'anga moingó-katuagûama resé","Que o que está em paz, seja o que está em paz com Deus"
"xe atuaî turi","Eu sou um homem"
"eresem ymã putunusu suí","Veja o que é velho"
"aîeatyká","Eu estou muito forte"
"- îarekó é rakó mba'e-katu i poxyba'e suí i mouruébo","- Que o que tem o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"na nde ruã-te-pakó kunhã ri ereîemomotá?","Não te tiraste de tua casa?"
"ixé nde sosé","Tu és o que está em paz"
"akûeî tabusu îerusalém 'îaba pora mombebaûama kuapa nhẽ aîpó i 'éû","O que é que é bom para Jesus, é que é bom para ele, para que seja bom para ele"
"o ati'yba ri kurusá osupi","O que foi para a terra de peixes foi para a terra de peixes"
"emonãnamope asé îeruréû santos-etá supé?","Não aceitará, porventura, o que é santo?"
"nde poxy ûĩ!","Tu és muito bom!"
"aîusã-moín","Eu sou muito mau"
"mosanga mûeîrabyîara","o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"aîapixosok","Eu estou muito"
"endé-te, nde resemõ arinhama, taîasu","Tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu,"
"a'ereme bé","Eu sou o que é"
"xe nem","Eu sou teu"
"oîposanong, i nambi atõîa nhote, aûnhenhẽ i monga'ẽmo, i moîepotá","Ele é muito grande, não é que ele seja muito grande, como ele é grande, seu amor é grande"
"ebokûea rupi","por causa da boca"
"xe resaraî é gûitekóbo, n'aseîá-potá ruã!","Eu sou o que me faz sentir, não querendo ser assim!"
"t'amoberab tupã robá-pytuna xe 'anga supé","A minha alma é a deusa de Deus"
"oubé rakó abá mba'e mundépe oína biã","A gente tem que fazer tudo no mundo"
