portugues,tupi_pred
"Quem me dera eu o fizesse estar deitado comigo assim!","Aipotáke ajerure chupe che ndive aguapy hag̃ua péicha!"
"Eu sou sábio","Che arandu"
"Caem às vezes os frutos de suas árvores, sendo ainda flores, outras vezes caem em seu estado verde","Sapy'ánte ho'a hi'a yvyramáta, yvoty gueteri, ambue jey ho'a hi'a pytã"
"vencedora","omomba'eguasu"
"Querendo abertos os buracos das orelhas da gente","Oipotáva ojepe'a umi ñande korasõ mbyja"
"Hei de cumprir tuas palavras","Ajapóta nde ñe'ẽ"
"indo eu voando","ohóvo che ahávo"
"Eis que somente ele tem coisas boas, em vez de mim!","Ko'ápe, ha'e añoite oguereko mba'e porã, che rangue."
"o que está no pote","mba'épa oĩ potýpe"
"na parte de dentro da embarcação","pe yguasu ryepýpe"
"Pegou-se fortemente sua roupa com que ele foi castigado por o ficarem ferindo?","¿Oñemomýipa ipópe ha'e oñeme'ẽ chupe castigo ojejuka haguére chupe?"
"Onde ele mora?","Moõpa oiko?"
"Viram somente muitas chamas de fogo, parecidas com nossas línguas","Ohecha hikuái hetaiterei tataindy, ojoguava ñane ñe'ẽnguérape"
"Vinde, levai os malditos","Eju, eju umi mba'e vaiete"
"Tremo, ambas as minhas coxas adormeceram","Ajereroky, che pyti'a mokõivéva oke"
"banco redondo","banco redondo"
"Eu tenho diarréia","Che py'a hasýva"
"Bebem muito todos","Opavave ho'u heta"
"A gente o faz ir em busca de padre também?","¿Jaheja chupe pastor-pe avei?"
"Defequei","Che añembyai"
"A boa crença em Deus de teu coração não se desprendeu","Nde pyʼaite guive rejerovia porã Jehováre"
"Por isso mesmo é que, em seus corações ficando a refletir, desafiam muito a Deus","Upévare, ipy'apýpe ojesareko jave, ombohovái hikuái Tupã Ñandejárape"
"Como estas são vossas casas? -Diferem muito","¿Mba'éichapa ko'ã óga nde róga?"
"Amarram-lhe as mãos fortemente, fazendo-lhe mal","Ogueraha chupe ipo ipópe ha ojapo vai."
"Tendo-lhe amor","Ohayhu chupe"
"Meu quinhão és tu!","Nde hína che mbarakaja!"
"o que está doente","mba'e hasýva"
"Desvirginaste alguma menina?","¿Reñembopochy vaʼekue peteĩ mitãkuña?"
"meu avô Jaguaruna","che ruvicha guasu Jaguaruna"
"Como o saberão?","¿Mba'éicha piko oikuaáta hikuái?"
"Com eles não se misturando, não querendo, igualmente, seu modo de ser","Ha'ekuéra ndojokóiva, ndohasáiva, avei, mba'éichapa ha'ekuéra oiko"
"Enchendo o mar, levantando-o bem acima do cume das montanhas","Ogueraha yguasu, omopu'ã yvyty yvate gotyo"
"água sem mistura","y sa'i ñembyaty"
"Que coisas, pois, hoje eu fiz?","Mba'e mba'e piko che ajapo va'ekue ko árape?"
"Eu sou elegante nas palavras","Che ñe'ẽnguérape che porâ"
"braço de rio","ysyry rembe'ýpe"
"Torrei-o","Ajerure chupe"
"Verdadeiramente, eis aqui teu caminho, o que tu procuras","Añetehápe, ko'ápe reju, upe rehupytýva"
"Que deteste muito o diabo","Nde rehechaukaha añeteteha aña"
"Por acaso ele teve seu intestino caído totalmente pelo lugar em que se rasgou sua cintura?","¿Oreiko piko ndereikuaáiva mba'épa oiko?"
"Picar-me-ia o marigui","Ojapóta che ryguasu"
"Esse santo a vida de seu mestre escreveu para nós, deixando-a","Upe santo hekove mbo'ehára ohai ñandéve, oheja"
"ilha de mato em meio a um descampado, CAPÃO","Isla de bosque mbytépe peteĩ campamento, Capón"
"Que fazes?","¿Mba'e piko rejapo?"
"Por isso mesmo o homem, com a virtude, dá asas a si para voar","Upévare yvypóra, heko joja reheve, ome'ẽ ipyti'a ohóvo"
"Por que a gente se persignará muitas e muitas vezes?","Mba'ére piko jajepy'apy ñande rapichápe heta ha heta jey?"
"Passamos uns atrás dos outros","Jaha'e ojuehe"
"cacos de pedra","Kuatiarogue ipyahúva"
"Fiquei-o esfregando com coisa gordurosa","Aipurúva mba'e ryguasu rehe"
"Contando as maldades escondidas de alguém para quem não as conhece","Ohesa'ỹijo mba'e vaiete oúva avave oikuaa'ỹvape"
"Aqueles serão os futuros habitantes do fundo do nosso fogo, os que serão queimados","Ha'ekuéra oikóta ñande pype, ha'ekuéra katuete oikóta."
"Vim ainda agora","Che aju añónte"
"Comeste terra?","¿Nde piko reñembyahýiva yvy?"
"pedra de amolar que gira, pedra de barbeiro","ita ñembosaráiva, ita ñembosaráiva"
"Perdoa tu nossas maldades a nós como nós perdoamos aos que nos tratam mal","Eperdonami ore rembiapo vaikue ore rehe, ore rohejare haguéicha ore rapichápe roñemondýi va'ekuépe."
"Os que não acreditavam nele trabalharam em conjunto, ficando a flechá-lo","Umi ndogueroviáiva hese omba'apo joajúpe, ojere chupe"
"Foste para revistar os covos de água doce de alguém, tomando seu conteúdo?","Reho va'ekue reñekuave'ẽ haguã avave y morotĩva guápe, reñemohenda haguã umi mba'e oĩva ipype?"
"Paguei-o","Che aguereko chupe"
"Eu tenho casca erguida","Che ruguy ipoty"
"Cura-se algumas vezes, segundo os desígnios de Deus para a gente","Ojejapo sapy'ánte, Ñandejára oipotáva ñandéve guarã"
"Querendo que ele entre para junto de vós mesmos, lançai fora vossas maldades","Peipotágui oike pene ndive, peity pende rembiapo vaikue."
"Contando os pecados escondidos de alguém para quem não os conhece","Oñe'ẽvo pe pekádo ñemombe'úva peteĩ tapicha oikuaa'ỹvape"
"O diabo te detesta","Pe aña ndaija'éi nde rehe"
"Eis aqui também a ingapema pintada","Ko'ápe avei oĩ ingapema pintada"
"a sela do cavalo","kavaju'i ñemby"
"Os cristãos como uma unidade","Umi kristiáno peteĩnte"
"Não existem mais absolutamente suas antigas terras Todas, há tempos, não contêm muita coisa","Ndaipórivéima mba'eve umi yvy yma guare."
"A dança é que é boa, enfeitar-se, fumar","Purahéi ningo iporã, oñemomorã, omokañy"
"Deus parece obter o descanso","Ñandejára ojogua oguahẽvo py'aguapy"
"Eu estou úmido","Che huguy"
"terra levantada","yvy ojeity"
"Hei de contar os modos de impedi-los","Añe'ẽta mba'éichapa ikatu ajoko chupekuéra"
"Meus guardiães opor-se-ão a vós, como de costume","Che guárdia oñemoĩta pende rehe, jepiveguáicha."
"Morro de morte natural","Mymba omano'ỹva"
"Adão, nosso primeiro pai, fez-nos perder verdadeiramente","Adán, ñande ypykue, ñanembotapykue añetehápe"
"Podem casar-se um com o outro?","¿Ikatúpa peñembosarái?"
"Regurgitei","Ajepy'apy jey"
"Mandou-os como diabos para fazer o fogo que não se apagará","Omondo chupekuéra demonio-icha ojapo haguã tata ndojapóiva"
"Queres ouro?","¿Rehayhu piko óro?"
"além do rio","ysyry rembe'ýpe"
"Fazendo-o derramar de si mesmo por nós","Ha'e oityvo'ỹre ñande rehe"
"poleiro das aves","Kuimba'e ñembosarái"
"Somente até aqui hei de nomear coisas para ti","Ko'ágã peve añe'ẽta ndéve mba'e."
"Muito escura é a alma do que não é batizado","Mbotove pytũ niko upe noñemomirĩva'ekue"
"Eia, os temiminós de dia confessam seus pecadilhos somente","Ha umi ára pukukue'i katu he'i hembiapo vaikue"
"sobre os ombros de duas pessoas, de um e do outro ombro","Mokõi tapicha apyka ári, peteĩ apyka ári ha ambue apyka ári."
"Depois de querer vê-lo, em vão, desde muito tempo atrás","Aipotávo rehecha, mba'e'ỹre, ymaite guive"
"Folgo muito em ouvi-lo","Añe'ẽ porãite ndéve."
"Estou tendo polução","Che pumiña"
"Mas os doentes a comem, bem certamente","Péro hasýva ho'u, añetehápe"
"Como meus súditos, todos em minhas mãos tenho-os bem","Che rembiguái ramo, opavave che pópe oĩ porã"
"O que tem relações sexuais com uma solteira transgride muito a palavra de Deus","Oiméramo peteĩ kuimbaʼe ohasáva peteĩ matrimónio, upéva tuichaiterei omboyke Ñandejára Ñeʼẽ"
"Roupa branca põe na gente","Mba'e morotĩva ñanembo'e"
"Tu ou eu","Nde térã che"
"Por nos amar mais do que nossa mãe ama seus próprios filhinhos","Ohayhuve haguére ñandehegui ñande sy ohayhuve hag̃ua ita'ýra kuérape"
"Sofrerão algo estando ali?","¿Oñemano va'erãpa upépe?"
"teu sêmen ejaculado","nde semino ejaculado"
"Evocando a morte de meu Senhor","Ojerure haguã che Jára omanohague"
"O que se preocupa com Deus","Mbaʼépa ojepyʼapy Ñandejára rehe"
"Alegrando todas as velhas","Vy'a opa umi tujami"
"A ele, certamente, beijarei suas faces","Ha'e rehe che amomorãta pende rova."
"O que se iguala às mulheres","Mba'e ojogua kuñanguérape"
"fazendo-te viver no meu coração","Nde rehe che korasôme"
"Graças a Deus meu pai veio!","¡Ajépa Ñandejára oipotahína che túva!"
"A chuva ficava amanhecendo a cair, enchendo o mar","Ypy'a ho'áva ko'ẽrõ, omyenyhẽ yguasu"
"Resisti-lhe","Añeha'ã va'ekue aguanta"
"nariz achatado","mbyja'i"
"três chefes","mbohapy mburuvicha"
"Que olhe para nós o neném compadecedor","Ohecháke ñandéve mitã mboriahu"
"Após tocar em seu segundo cônjuge","Oñe'ẽ rire hembireko mokõivépe"
"Fi-lo muito mal","Ajapóva vaiete"
"Há algum homem na condição de seu substituto?","¿Oĩpa peteĩ kuimba'e ikatúva omoî chupe?"
"No meio do caminho, meninos assaltaram-me","Peteî tape mbytépe, mitâkuña'i ojuka che rehe"
"Finjo que vou","Ajapórõ upéicha"
"Amando tua grande beleza","""Ahayhu nde porâite"
"Na cidade chamada Roma","Táva hérava Roma-pe"
"Vem para amedrontá-lo","Oúta omokyhyje haguã chupe"
"o que é feito morrer","mba'épa ojejapóva omano"
"Esse é meu antigo enforcador","Kóva ha'e che apykaha yma guare"
"E os rapazes que perseguem mulheres, querendo escravas?","Ha umi mitãrusu ohóva kuña rapykuéri, oipotava'erã tembiguái?"
"Aqui vêm para nos castigar!","Oúta hikuái orekóvo castigo!"
"Mas tu brilhas mais que ele, iluminando-nos todos com tua virtude","Nde katu nde resape'a heseve, nde reko porã reheve oréve opavave rovy'a."
"Teu poder aquietou este mundo","Nde pokatu omokyre'ỹ ko yvy"
"passar rápido, correr","pya'e ohasa, pya'e pya'e"
"Os padrinhos junto ao padre ou a outra pessoa não podem casar-se com o que batizaram","Umi padrino ha ambue tapicha ndive ndaikatúi omenda upe oñemongaraiva'ekuépe"
"Deixo-o levar","Aheja chupe ogueraha"
"pelo caminho","tape rupi"
"A ponte derrubam, querendo que a canoa passe","Ponte ojapi hikuái, oipota rupi kano ohasa"
"Por isso Deus transformou a costela de nosso pai primeiro em sua esposa?","Upévare Ñandejára ojapo ñande ru'i ryguasu hembireko ypykue?"
"Felizes estão todos os homens","Opavave kuimba'e vy'a"
"Escaparão futuramente os animais quadrúpedes?","¿Oñemomombyrypa umi mymba irundyha?"
"Haveis de bem recobrar o fôlego no futuro, após vos cansardes","Péva nde'íri nde py'a potĩva."
"Mostra o erro de minhas palavras","Ehechauka che ñe'ẽ vaiha"
"A que cuida da virtude é a mãe de Deus bondosa","Ome'ẽva tekove porã rehe Tupãsy imba'e porãva"
"Para as coisas que costuma sofrer não tendo paciência","Umi mba'e ohasa asyva'ekue ndorekóiva py'aguapy"
"debaixo da pedra","ita guýpe"
"Estou desleixando","Ahasáva"
"aquela cidade chamada Jerusalém","upe táva hérava Jerusalén"
"O resto de minhas presas trouxe para a rainha","Che ovecha ambuéva amoingove jevy kuñáme"
"lavadeira ou lavador de roupas","Tenda ñembosarái"
"Dou-lhe os filhos de Pedro","Ambohasa chupe Pedro ra'ykuéra"
"Para se vingar de seu cão que cria, um homem não o alimenta","Omyengovia haguã imemby jagua rehe, peteĩ kuimba'e ndojokói chupe"
"Cercando os miseráveis para encher nosso fogo","Ojerresidi umi mboriahu'ỹva omyenyhẽ haguã ñande tatápe"
"Eu sou enfermiço, doentio","Che niko che pohãnohára, che hasýva"
"Eu tenho pintas","Che areko umi pindo"
"comida dos anjos","Ángel kuéra tembi'u"
"Então matarei alguns","Upéicharõ, ajuka va'erã"
"Deitando às pressas o capim","Oity pya'e pe tapykue"
"Que eu lance fora todas as armadilhas","Che apysanga opaite mba'e ñapytĩva"
"Ah, veio de fato para cá o Ostra Grande!","Oh, ha'e niko ou ko'ápe Ostra Grande!"
"Eis que aqui estou, procurando-te","Ko'ápe aime, nde rapykuéri"
"Como que fazendo as pessoas viverem, mas não de verdade","Ha'ete voi ojapo haguã yvypóra oikove, katu ndaha'éi añetehápe"
"Segundo o rito dos judeus, seu prepúcio cortaram","Umi judío kuéra rembiapoukapy he'i haguéicha, ojeja'o hikuái itúva'y."
"Detestaste teu próximo, ficando a pôr-lhe nomes também?","Reñemomirĩva'ekue nde rapichápe, reñemombo chupe avei?"
"Comunhão a cada Páscoa","Comunión káda Pascua"
"O maldito não difere de uma arara","Pe maldición ndaha'éi mba'eveichagua peteĩ araara"
"Os cabos são brancos","Umi cable-kuéra hovy"
"Este é o meu princípio","Kóva ha'e che principio"
"Após nossa perdição, Deus fez uma mulher bondosa","Ñane ñembyai rire, Ñandejára ojapo peteî kuña porâite"
"A ele eu beijarei suas faces","Ha'e rehe che rohayhuvéta"
"Desencontramo-nos","Ñañomongeta"
"Lembrando-se de que Deus os honra muito no céu","Oimévo Ñandejára omomba'eguasuha chupekuéra yvágape"
"Pensa em vir para vos espantar","Epensamína ouha'ỹre nde rehe"
"pessoa paroleira","Ñe'ẽpapára"
"Mataram, na verdade, a outra pessoa que não aquele assassino","Ha'ekuéra ojuka, añetehápe, ambue tapicha ndaha'éiva upe ombojeguáva"
"Estejamos em união","Ñañemoirũ"
"Estou","Che hína"
"Para nos honrar os índios fazem festa","Ñane retã remimboupe, umi indio omomorã"
"Zune como o vento, tremendo por causa de sua bravura","Ovy'a yvytu, oñesũva ipy'a porãgui"
"Eu estou fendido","Che apyta"
"Sou fujão","Che niko mbyja"
"Mulher bondosa, uma virgem","Kuñakarai porâ, peteĩ virgo"
"Que lancemos fora nossa maldade, não acreditando nos pajés","Jaheja'o haguã ñande mba'e vai, ani haguã jajerovia umi mba'e vai"
"Eu sou preto","Che niko pytũ"
"Coisa beiçuda!","Mba'e kyre'ỹ!"
"Querendo fazer passar as flechas","Oipotáva ohasávo umi flecha"
"Fiz fogueira","Ahapypaite"
"meu nome de meninice, meu nome de infância","Che réra mitâkuña'i, che réra mitâkuña'i"
"o ensinamento a nós da palavra de Deus","Ñandejára Ñeʼẽ ñanemboʼe"
"este outro","Ko ambue"
"A dança é que é boa, enfeitar-se, pintar-se de preto","Purahéi ningo iporã, oñemomorã, oñemomba'e'ỹ."
"Vem-me à memória minha vida passada em minha terra","Oiméne che mandu'a che rekove ymaite guive che retãme"
"Como a gente faz à tarde, antes de dormir?","Mba'éicha jajapóva pyharekue, ñamano mboyve?"
"E aquelas mulheres não resistem, combatendo-os?","Ha umi kuña ndojokóiva oñorairõvo hese?"
"Nem por isso eu vou para longe","Ndaha'éi upévagui che aha mombyry"
"De lá do lugar para onde foi fez vir o Espírito Santo","Upe tenda rupi Espíritu Santo ogueru"
"Por isso mesmo, até a terra que a gente pisa detesta os cadáveres daqueles","Upévare, yvy jaityhápe jepe, ndaijojahái umi omanóva retekue."
"Oprime-nos o coração","Ñane korasõ omombyry"
"o que é igual a algo ou a alguém","Mba'eichaguápa peteĩ mba'e térã peteĩva"
"Mas chorai por vós mesmas","Peëme katu peñembyasy"
"Jazo de bruços","Túva'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i"
"Perdoará hoje, certamente, a mim","Ha'e oheja va'erã che rehe ko'ágã"
"Que nossa alma ele visite, dispersando os vícios dela","Toñembo'e ñande py'a rehe, toñemoherakuã ichugui umi mba'e vai"
"Qual outro é guerreiro senão ele?","¿Máva mávapa pe guerrero ha'eño?"
"fazendo os homens ficarem espiando","Ojapo kuimba'ekuéra ojepy'apy"
"Vem para espantar o diabo, para que não me dane","Oguejy nde py'a ky'a, ani haguã che pykasu"
"Não nos queremos bem","Ndajajoayhuvéima"
"Não abrandam sua raiva, não perdoam","Ani reñepy'a rei, ani reñemomirĩ"
"Eu sou airoso","Che niko che py'a potĩ"
"É verdade isso!","Ha'e añete!"
"Meteste a mão nas partes erógenas de teu próximo?","¿Reko nde po nde rapicha rete erógeno rehe?"
"Não sou eu que vou","Ndaha'éi che aha va'erã"
"conforme o dia","ára rehegua"
"Tiveste relação sexual com pessoa solteira?","Reñemongeta vaʼekue peteĩ kuimbaʼe soltéro ndive?"
"É doloroso deixar o vício, a vida má, contudo, depois disso, o homem consola-se muito","Ivaiete oheja haguã pe jeikove vai, katu upe rire, kuimba'e oñenohẽmbaite"
"Logo depois de dizerem aquilo para ele, lançou o pagamento por seu senhor no templo","Ha'e kuéra he'i chupe upeicha, ha'e omosẽvo pe viru karai rendápe tupaópe."
"Confessam seus pecadilhos somente Os que são muito grandes deixam-nos, escondendo-os do padre","Oñe'ẽ vai hikuái hembiapo vaikue rehe. Ha'ekuéra tuichaiterei ha oheja rei, omomýi hikuái pa'i rendápe."
"Meu senhor!","Che ruvicha guasu!"
"Para o vosso encontro da virtude verdadeira","Pende reko joja rehehápe"
"Remo a canoa","Puruhára"
"Meu irmão, perdoa tu a mim","Che ryvy, che rehe che rembyasy"
"Das cuias ficando a quebrar as pontas, afrontaste os homens","Umi nde ryguasu rembe'ýpe, reñembo'e kuimba'e kuéra ndive"
"Não comas este fruto que me é reservado","Ani re'u ko yva che reheguáva"
"Volta em nossa direção teus olhos compadecedores","Eju ore gotyo nde resa mborayhu"
"o que é frito, a fritura","mba'épa oje'u, oje'u"
"Eu sou cristão, eu sou virtuoso","Che niko kristiáno, che niko virtuoso"
"Uma notícia chegou-me aos ouvidos","Peteĩ notísia oguahë che púva"
"Deus fez vir um anjo no sonho de São José para o avisar","Ñandejára ombou peteî ángel San José arorype omomarandu haguã chupe"
"o que é raro, poucas vezes visto ou que se não acha a cada passo","mba'e sa'ieteva, sa'i ojehechava'ekue térã ndojehechakuaáiva peteĩteĩme"
"Por que será que ele não vem?","¿Mba'ére piko ndohói?"
"Hás de confessar primeiro tua atração por eles","Reñemomba'e va'erã reñemoĩha hesekuéra"
"Vem para me fazer regozijar, dando tua boa lei","Reju chevy'a haguã, reñeme'ẽ haguã nde léi porã"
"Que deteste a vida má","Nde reñembyai va'ekue tekove vai"
"E os rapazes que perseguem mulheres?","Ha umi kuimba'e ohasáva kuñanguérape?"
"Não me chames pelo nome diante dele, senão me mata!","Ani rehenói che réra hese, térã katu chejuka!"
"-Quem és tu? -Sarauaia, adversário antigo de franceses","- Sarauaia, opórõ guare Francia-pe."
"Após nascer Deus-Filho de sua mãe, os judeus cortaram seu prepúcio","Tupã Ra'y isy heñói rire, umi hudío ojuka itúva'i"
"Seu sangue era muito, escorrendo no chão","Huguy hetaiterei, ho'áva yvy ári"
"bem cedo, bem de madrugada","pyhareve, pyhareve"
"Arranquei as penas de sua asa","Aheja'o ipyti'a ipyti'a"
"Vou à guerra, vou como guerreiro","Aguerúta ñorairõme, aike ñorairõhára ramo"
"Por sua vontade é que ele se entregou aos seus adversários, não resistindo?","¿Iporã piko chupe oñeme'ẽ iñirũnguérape, ndojokóiva?"
"O fogo te convém verdadeiramente, para que nele te asses","Pe tata nde py'apýpe oĩ porã, ha upépe reñemoĩ porãta."
"Estão queimando, conservando suas vidas","Ohapy hikuái, omomba'eguasu hekove"
"Eu brilho","Añeñotĩ"
"Ah, quem me dera o tivesse matado!","Aipotáke che aporyrõ chupe."
"no meio de, no centro de","mbyte gotyo, mbyte gotyo"
"Todos os seus discípulos para tuas mãos fazendo-os passar","Opa hemimbo'e kuéra nde pópe, embo'e haguã"
"Não honram seu criador","Nderejereromimbiva'erã nde Járape"
"Prendi-os um ao pescoço do outro","Aipytaso hikuái ojoykére"
"Ele nasceu de Maria, a que não foi tocada por homem","Oiméne ha'e heñói María-gui, ndojapóiva kuimba'e"
"Eu sou todo manchado","Che añe'ẽmbaite"
"desatinado, sem juízo, enlouquecido, maníaco","hasýva, iñarandu'ỹva, iñakã ratã, maníaco"
"As doenças da alma do homem com ela saram bem","Ava arã mba'asy oguerekóva omonguera porã"
"prender tapuias","omboty tapia"
"tipo de corte de cabelo dos índios","mba'éichapa ojeja'o umi indio"
"Guardei todos os jejuns","Aike opaichagua jeja'o"
"-Por isso nós rezamos aos santos? Por isso","- Upévare ñañembo'e umi sánto-pe?"
"Dos mandamentos de Deus eu era transgressor, na verdade","Tupã rembiapoukapy rehe che añetehápe añe'ẽ vai."
"Fazemos passar as flechas dos malditos, diante deles esquivando-nos","Jaheja umi maldición-kuéra yvytu ku'i, ha'ekuéra ohóvo."
"Sofrendo tudo o que é doloroso, que não se mitigará","Ohasávo opa mba'e hasýva, ndopytáiva"
"Esta há de ser minha companheira, com certeza","Ko'ãva ha'éta che irũ, añetehápe."
"Fiquei falando em favor dele","Añe'ẽ porã hese"
"Não que alguém se compadecerá deles, não que alguém vá libertá-los","Ndaha'éi avave oiporiahuverekoha chupekuéra, ndaha'éi avave osêtaha omosãso haguã chupekuéra"
"Vou ao caminho das pessoas","Ajuhu tape tapichakuéra"
"Aqui estou, não me afasto deles","Ko'ápe añe'ê, ndahejái chuguikuéra"
"Por isso mesmo, o que os agrada em alguma coisa transgride a palavra de Deus","Upévare, umi mba'e ohayhuvéva chupekuéra, omboyke Tupã ñe'ẽ."
"Sofreste a morte","Reñembyasy omano"
"Ele, de costume, agiria de outra maneira","Ha'e katuete ojapo ambue mba'e"
"Detestando-os mais que tudo o que se deve detestar neste mundo","Ovy'aiteve hikuái opa mba'e oje'eva'erãva ko yvy ape ári"
"Eu me fico levantando nas pontas dos pés","Apu'ã che py'a poty ári"
"Descarrega-a a ele","Eipuru chupe"
"Por isso mesmo eles não se deleitam com as boas coisas","Upévare ndojapói hikuái mba'e porã"
"Tem medo de ti o diabo, odiando-te","Nde reheve okyhyje aña, nderecha'éi"
"Com uma lança espetou seu flanco","Peteĩ lanza ojapiva'ekue ipyti'a"
"Morro falsamente, isto é, desmaio, desfaleço","Che añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añe'ẽ añ"
"Ele não é fundo","Ndaha'éi iñypytũva"
"Meus dentes tiritam Xe rembé-tatak - Meu beiço tirita","Che tesa'i omosarambi Xe rembé-tatak - Che mbotove omosarambi"
"Fiz todos os jejuns","Ajapóma opaichagua ayvu"
"Eu sou moçacara, eu sou forte","Che niko mitãkuimba'e, che imbarete"
"o grande chefe Aimbirê","Mburuvicha guasu Aimbirê"
"Afasta-te!","Eju mombyry!"
"Acreditas nos feitiços do pajé?","¿Rejerovia piko pe ñana ñana rehe?"
"O cauim transbordante nas igaçabas, depois disso, os atrai","Ko'ã ka'avo ohasáva umi yga'u ári, upéi ohasáva ichupekuéra."
"Cessou a chuva","Ohete'ỹma oky"
"Tu foste torpe com alguma irmã de tua esposa ou com sua parente próxima?","¿Reñemomirĩ vaʼekue ne rembireko sýpe térã iñangirũ rehe?"
"Nosso espião vá primeiro, à frente de nós","Ñane espía oho tenonderã, tenonderã."
"raiz fedorenta, SAPOREMA, doença que ataca as plantas","saporema, saporema, mba'asy ohasáva ka'avo"
"Logo então a cruz ergueram, fincando-a?","Upémarõ omopu'ã hikuái kurusúre, omopu'ãvo ichupe."
"Eu sou manchado","Che añembyai"
"Estão queimando para sempre como pena de dizerem isso somente em suas bocas","Ohapypaite hikuái opa ára guarã, mba'e vaiete he'i haguã péicha iñe'ẽngue'ỹre."
"água cheia grande, maré alta","Y guasu henyhẽva, mar mar ha'e guasu"
"Escondeste algum pecado teu do padre, envergonhando-te dele?","Reñemboja reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa reipa"
"Todos eles voltaram para trás, caindo no chão de costas","Opavave oho jeýma, ho'a yvýpe."
"Tua alma está muito branca, como roupa lavada","Nde alma ipya'e porâ, ao ho'u haguéicha"
"Eu tenho baceira","Che areko ka'avo"
"Foram terríveis contra os malditos as flechas de São Sebastião, com São Lourenço também","San Sebastián pytu'u kuéra ivaiete umi maldición-kuéra rehe, San Lorenzo ndive avei."
"Se tu não endureceres teu coração","Nde py'a nderejapóiramo"
"Antigamente estava aflito, praticando meus vícios","Che ymaite guive añembyasy, che jeiko vai"
"teia de aranha","Tape'i ha'éva"
"Temos algum remédio como meio de nos curarmos?","¿Ikatúpa jaiporavo ñande rekove?"
"Que fazem conosco os que nos batizam?","¿Mbaʼépa ojapo oréve umi ñanemongaraiva?"
"areia preta","yvatekue pytũ"
"Livra-me tu!","Eipytyvõ chéve!"
"Deixai-os estar deitados","Ehejami chupekuéra oguapy"
"Ele conosco caminharia","Ha'e ñande ndive oguata"
"Vai fartando a mim","Che py'a potĩ"
"Quanto foi o pagamento?","Mba'eichapa pe jepaga?"
"minha presa","che preñáva"
"chumbada do anzol","ñembyasýpe"
"Voltou a viver dos que morreram","Oikove jey umi omanóva apytépe"
"Parei","Che apyta"
"Que a gente evoca diante dele como sua esperança?","¿Mba'e piko ja'e hese ha'eha pe esperanza?"
"Por acaso não chegava seu segundo braço ao lugar de irem os pregos?","¿Ndépa reñeha'ã reñemboja nde po'i mokõiha nde py'a guýpe?"
"Eu estou ricamente vestido de roupas","Che aponde porãiterei ao"
"Vamos, conversemos com os que nos procuram","Ja'e va'erã umi ohekava'ekue ñande rehe"
"Mal a gente diz algo, já se irrita","Ja'e jave mba'e, ñanemomirĩmba"
"Ah, quem me dera o tivesse matado!","Aipotáke che aporyrõ chupe."
"Arrebentando as coisas de alguém","Ojejapo haguã mba'e"
"Matais","Ojukáva"
"Hei de comer hoje seus braços","Ha'e va'erã hoy'u haguã ipópe"
"Está pronto o guaitacá ou o filho do guaianá?","¿Oñembo'e va'ekue guaitacá térã guaiaana ra'y?"
"Os franceses trouxeram pólvora em vão","Umi francés ogueru póvre mba'e'ỹre"
"Faze perdoar a nós","Ejerure ore rehe oreperdona haguã"
"Apressam-me estes meus súditos","Oiméne ko'ã che rembiguái pya'e"
"Ó, hei de ir!","¡Añetehápe, aha vaʼerã!"
"Veio um grande chefe","Oî peteî mburuvicha guasu"
"Ele é gostoso","Ha'e iporâva"
"Somente desejando-a, nela tocando também","Oipotávo, ohaivo avei"
"Eles mandariam enforcá-los?","Ha'ekuéra omosãingo va'erã chupekuéra?"
"Para Deus nos encorajar contra o diabo","Ñandejára ñanemokyre'ỹ haguã aña rehe"
"Ele é muito grosso","Ha'e tuichaiterei"
"Todo seu sangue deu","Opa hembi'u ome'ẽ"
"Ela está afiada","Ha'e ipya'e"
"a descida dele","oguejyvo"
"não querendo espaçar longamente a falta de sua confissão","Ndorekóiva heta mba'e reiete omomýiva'ekue iñakãme"
"meu parceiro","che irũ"
"Eu tenho inclinação a me irritar","Che py'a hasyva'ekue"
"Ser chamado ladrão é característica do homem mau","Oje'e haguã ichupe mondaha ha'e yvypóra ivaíva"
"lasca de madeira","yvyra ñana"
"Eu sou pardo","Che niko hovy"
"De modo nenhum os temiminós tiram seus nomes antigos","Ndaipóri mba'eve umi temimo'i omboykeva'ekue ichugui héra yma guare"
"Eu fiz confusão","Ajapóma ñembyai"
